DB,Clients,Threads,Run,Latency_Avg_ms,Init_Connection_Time_ms,TPS,LogFile,DockerStats_Before,DockerStats_After
postgresql,1,1,1,20.018,28.899,49.955020,postgresql_client1_run1.log,"Name: postgresql CPUPerc: 0.03% MemUsage: 24.54MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 7.08MB / 28.7kB","Name: postgresql CPUPerc: 0.03% MemUsage: 114.1MiB / 15.48GiB NetIO: 5.37MB / 3.89MB BlockIO: 86.9MB / 133MB"
postgresql,1,1,2,4.922,18.120,203.166121,postgresql_client1_run2.log,"Name: postgresql CPUPerc: 0.04% MemUsage: 24.41MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 7.14MB / 28.7kB","Name: postgresql CPUPerc: 0.24% MemUsage: 184.5MiB / 15.48GiB NetIO: 21.8MB / 15.8MB BlockIO: 254MB / 621MB"
postgresql,1,1,3,12.274,17.787,81.471070,postgresql_client1_run3.log,"Name: postgresql CPUPerc: 0.03% MemUsage: 22.88MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.20% MemUsage: 155MiB / 15.48GiB NetIO: 8.76MB / 6.34MB BlockIO: 65.3MB / 200MB"
postgresql,4,1,1,12.166,163.855,328.789694,postgresql_client4_run1.log,"Name: postgresql CPUPerc: 0.03% MemUsage: 22.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.19% MemUsage: 187.2MiB / 15.48GiB NetIO: 35.3MB / 25.6MB BlockIO: 223MB / 937MB"
postgresql,4,1,2,11.528,117.245,346.979055,postgresql_client4_run2.log,"Name: postgresql CPUPerc: 0.03% MemUsage: 22.13MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.19% MemUsage: 229.6MiB / 15.48GiB NetIO: 37.3MB / 27MB BlockIO: 369MB / 978MB"
postgresql,4,1,3,12.960,180.102,308.646859,postgresql_client4_run3.log,"Name: postgresql CPUPerc: 0.03% MemUsage: 24.73MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 7.07MB / 28.7kB","Name: postgresql CPUPerc: 0.14% MemUsage: 239.8MiB / 15.48GiB NetIO: 33.1MB / 24MB BlockIO: 388MB / 834MB"
postgresql,8,2,1,5.063,172.678,1579.972444,postgresql_client8_run1.log,"Name: postgresql CPUPerc: 0.03% MemUsage: 24.26MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 6.97MB / 28.7kB","Name: postgresql CPUPerc: 0.43% MemUsage: 452.4MiB / 15.48GiB NetIO: 170MB / 123MB BlockIO: 421MB / 3.59GB"
postgresql,8,2,2,5.370,37.420,1489.669886,postgresql_client8_run2.log,"Name: postgresql CPUPerc: 0.06% MemUsage: 22.36MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.90% MemUsage: 164.9MiB / 15.48GiB NetIO: 160MB / 116MB BlockIO: 1.97MB / 1.26GB"
postgresql,8,2,3,5.635,105.738,1419.611988,postgresql_client8_run3.log,"Name: postgresql CPUPerc: 0.05% MemUsage: 22.43MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.73% MemUsage: 162.7MiB / 15.48GiB NetIO: 153MB / 110MB BlockIO: 81.9kB / 633MB"
postgresql,16,4,1,5.692,95.330,2810.868153,postgresql_client16_run1.log,"Name: postgresql CPUPerc: 0.06% MemUsage: 22.33MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.92% MemUsage: 171.9MiB / 15.48GiB NetIO: 302MB / 219MB BlockIO: 0B / 98.5MB"
postgresql,16,4,2,5.809,95.232,2754.251159,postgresql_client16_run2.log,"Name: postgresql CPUPerc: 0.06% MemUsage: 22.37MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.76% MemUsage: 172.3MiB / 15.48GiB NetIO: 296MB / 214MB BlockIO: 0B / 569MB"
postgresql,16,4,3,6.001,118.446,2666.218163,postgresql_client16_run3.log,"Name: postgresql CPUPerc: 0.06% MemUsage: 22.68MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.67% MemUsage: 170.4MiB / 15.48GiB NetIO: 286MB / 207MB BlockIO: 152kB / 35MB"
postgresql,32,8,1,8.760,113.059,3652.972066,postgresql_client32_run1.log,"Name: postgresql CPUPerc: 0.06% MemUsage: 22.33MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 4.1kB / 28.7kB","Name: postgresql CPUPerc: 0.75% MemUsage: 177.9MiB / 15.48GiB NetIO: 392MB / 284MB BlockIO: 4.1kB / 1.58GB"
postgresql,32,8,2,8.985,106.644,3561.589079,postgresql_client32_run2.log,"Name: postgresql CPUPerc: 0.05% MemUsage: 23.11MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 20.17% MemUsage: 186.6MiB / 15.48GiB NetIO: 383MB / 277MB BlockIO: 0B / 2.08GB"
postgresql,32,8,3,8.753,73.597,3655.758189,postgresql_client32_run3.log,"Name: postgresql CPUPerc: 0.07% MemUsage: 22.48MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.75% MemUsage: 176.9MiB / 15.48GiB NetIO: 393MB / 284MB BlockIO: 0B / 1.79GB"
postgresql,64,16,1,14.063,124.686,4550.902145,postgresql_client64_run1.log,"Name: postgresql CPUPerc: 0.06% MemUsage: 22.64MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.68% MemUsage: 184.1MiB / 15.48GiB NetIO: 489MB / 354MB BlockIO: 0B / 3.01GB"
postgresql,64,16,2,14.303,133.981,4474.483163,postgresql_client64_run2.log,"Name: postgresql CPUPerc: 0.05% MemUsage: 23.2MiB / 15.48GiB NetIO: 802B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.77% MemUsage: 182.9MiB / 15.48GiB NetIO: 481MB / 348MB BlockIO: 0B / 2.85GB"
postgresql,64,16,3,13.931,117.659,4594.052088,postgresql_client64_run3.log,"Name: postgresql CPUPerc: 0.07% MemUsage: 22.29MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.74% MemUsage: 183.4MiB / 15.48GiB NetIO: 494MB / 357MB BlockIO: 0B / 2.93GB"
opengauss,1,1,1,5.773,23.033,173.212825,opengauss_client1_run1.log,"Name: opengauss CPUPerc: 1.35% MemUsage: 435.6MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 64.2MB / 172kB","Name: opengauss CPUPerc: 3.81% MemUsage: 669.3MiB / 15.48GiB NetIO: 18.6MB / 13.5MB BlockIO: 312MB / 1.73GB"
opengauss,1,1,2,14.882,5.211,67.196454,opengauss_client1_run2.log,"Name: opengauss CPUPerc: 0.84% MemUsage: 433.6MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.44% MemUsage: 558MiB / 15.48GiB NetIO: 7.23MB / 5.23MB BlockIO: 47.1MB / 614MB"
opengauss,1,1,3,20.041,14.218,49.897248,opengauss_client1_run3.log,"Name: opengauss CPUPerc: 0.66% MemUsage: 433.6MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.72% MemUsage: 535.7MiB / 15.48GiB NetIO: 5.37MB / 3.89MB BlockIO: 21.8MB / 415MB"
opengauss,4,1,1,13.515,118.062,295.972031,opengauss_client4_run1.log,"Name: opengauss CPUPerc: 0.70% MemUsage: 433.4MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.77% MemUsage: 722.2MiB / 15.48GiB NetIO: 31.8MB / 23MB BlockIO: 30.1MB / 1.68GB"
opengauss,4,1,2,12.530,147.127,319.242492,opengauss_client4_run2.log,"Name: opengauss CPUPerc: 0.55% MemUsage: 433.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 164kB","Name: opengauss CPUPerc: 2.99% MemUsage: 730.1MiB / 15.48GiB NetIO: 34.3MB / 24.8MB BlockIO: 4.35MB / 1.69GB"
opengauss,4,1,3,13.730,93.123,291.329610,opengauss_client4_run3.log,"Name: opengauss CPUPerc: 0.64% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.98% MemUsage: 720.5MiB / 15.48GiB NetIO: 31.3MB / 22.7MB BlockIO: 3.58MB / 1.44GB"
opengauss,8,2,1,6.010,121.133,1331.147911,opengauss_client8_run1.log,"Name: opengauss CPUPerc: 0.69% MemUsage: 433.3MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 3.50% MemUsage: 801.5MiB / 15.48GiB NetIO: 143MB / 103MB BlockIO: 3.52MB / 4.46GB"
opengauss,8,2,2,6.691,25.715,1195.550100,opengauss_client8_run2.log,"Name: opengauss CPUPerc: 1.42% MemUsage: 433MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 7.81% MemUsage: 801.1MiB / 15.48GiB NetIO: 129MB / 93.2MB BlockIO: 3.5MB / 4.02GB"
opengauss,8,2,3,5.733,40.180,1395.370777,opengauss_client8_run3.log,"Name: opengauss CPUPerc: 1.28% MemUsage: 433MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 209kB","Name: opengauss CPUPerc: 7.74% MemUsage: 803.2MiB / 15.48GiB NetIO: 150MB / 109MB BlockIO: 3.57MB / 4.68GB"
opengauss,16,4,1,6.971,80.482,2295.096164,opengauss_client16_run1.log,"Name: opengauss CPUPerc: 1.17% MemUsage: 434MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 3.29% MemUsage: 816.3MiB / 15.48GiB NetIO: 247MB / 178MB BlockIO: 3.5MB / 4.91GB"
opengauss,16,4,2,7.053,54.532,2268.528726,opengauss_client16_run2.log,"Name: opengauss CPUPerc: 1.45% MemUsage: 432.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.76% MemUsage: 816.2MiB / 15.48GiB NetIO: 244MB / 176MB BlockIO: 3.5MB / 4.88GB"
opengauss,16,4,3,7.035,48.701,2274.286734,opengauss_client16_run3.log,"Name: opengauss CPUPerc: 1.23% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 3.24% MemUsage: 819.6MiB / 15.48GiB NetIO: 244MB / 177MB BlockIO: 3.5MB / 5GB"
opengauss,32,8,1,10.141,66.278,3155.521861,opengauss_client32_run1.log,"Name: opengauss CPUPerc: 1.23% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 10.00% MemUsage: 833.6MiB / 15.48GiB NetIO: 339MB / 245MB BlockIO: 3.5MB / 4.88GB"
opengauss,32,8,2,10.120,84.896,3162.105050,opengauss_client32_run2.log,"Name: opengauss CPUPerc: 1.46% MemUsage: 433.2MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 1.79% MemUsage: 835.4MiB / 15.48GiB NetIO: 340MB / 246MB BlockIO: 3.5MB / 4.78GB"
opengauss,32,8,3,10.622,70.573,3012.644630,opengauss_client32_run3.log,"Name: opengauss CPUPerc: 1.52% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 172kB","Name: opengauss CPUPerc: 3.87% MemUsage: 835.5MiB / 15.48GiB NetIO: 324MB / 234MB BlockIO: 3.5MB / 4.79GB"
opengauss,64,16,1,16.583,86.374,3859.356601,opengauss_client64_run1.log,"Name: opengauss CPUPerc: 1.59% MemUsage: 433.2MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 10.60% MemUsage: 855.5MiB / 15.48GiB NetIO: 415MB / 300MB BlockIO: 3.52MB / 3.73GB"
opengauss,64,16,2,16.643,94.981,3845.547184,opengauss_client64_run2.log,"Name: opengauss CPUPerc: 1.45% MemUsage: 432.7MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 209kB","Name: opengauss CPUPerc: 11.43% MemUsage: 850.2MiB / 15.48GiB NetIO: 413MB / 299MB BlockIO: 3.5MB / 3.77GB"
opengauss,64,16,3,16.668,134.137,3839.806228,opengauss_client64_run3.log,"Name: opengauss CPUPerc: 0.75% MemUsage: 433.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 11.38% MemUsage: 849.5MiB / 15.48GiB NetIO: 412MB / 299MB BlockIO: 3.51MB / 3.7GB"
